company,enterprise_number
ACKERMAN HOLDINGS,South Africa > M2001016381
BIMBO QSR HOLDINGS SOUTH AFRICA,South Africa > K2015195245
NOAHS FX WAVES,South Africa > K2015108901
ALICEROSE NOMINEE,South Africa > M1972010235
KINGS REIGN INVESTMENTS,South Africa > M1998024624
TSOGO SUN GAMING,South Africa > M1989002108
TSOTETSI K.L,South Africa > K2012138409
TEMPEST FOREX TRADING,South Africa > K2019130208
BULLORBEAR,South Africa > K2019096902
JME FINANCIAL SERVICES,South Africa > K2018607541
EURO-CENTER CAPE TOWN,South Africa > M1995004249
GRINDROD BANK,South Africa > M1994007994
FISCAL PRIVATE CLIENT SERVICES,South Africa > M1963000032
CONSOLIDATED POWER PROJECTS,South Africa > M1963006171
SHELL DOWNSTREAM SOUTH AFRICA,South Africa > M2007016255
SWIFTNET,South Africa > M1994009541
WEYLAND YUTANI CORPORATION,South Africa > K2017074598
GOODYEAR SOUTH AFRICA,South Africa > M1996015654
URBAN LABORATORIES INTERNATIONAL LLC (INCORPORATED IN US),South Africa > M2009024682
L AND F INVESTMENTS,South Africa > K2021930927
UNILEVER SOUTH AFRICA,South Africa > M1939012365
DEUTSCHE GROUP HOLDINGS (SA),South Africa > M2005011132
K2016062021 (SOUTH AFRICA),South Africa > K2016062021
EMIF II INVESTMENT,South Africa > K2023559344
SHARENET SECURITIES,South Africa > M2005037938
JOHNSON AND JOHNSON,South Africa > M1930002616
SOAP VISUALS,South Africa > K2020200731
DIX ENTERPRISE,South Africa > K2019269651
ALTAGO,South Africa > K2023768956
GOLDWIND NEW ENERGY SOUTH AFRICA,South Africa > K2021138603
FAST ISSUER SPV (RF),South Africa > K2015042887
NIEUW BUSINESS,South Africa > K2017424526
BK AGRI ENTERPRISES,South Africa > K2016319274
VALEO SYSTEMS SOUTH AFRICA,South Africa > M1999017761
ENTAR INVESTMENTS,South Africa > K2021331813
DE BEER AND STEYN HOLDINGS,South Africa > K2021336156
HEDGING PEERS,South Africa > K2020898936
APOGEE CAPITAL MANAGEMENT,South Africa > K2016241329
AMAZING BOTS COMPANY CAPITAL,South Africa > K2021507250
PURE BULLION TRADING,South Africa > K2021462775
KANSAI PLASCON AFRICA,South Africa > M2007021624
SAFFRON WEALTH,South Africa > M2007005503
TRONOX MINERAL SANDS,South Africa > M1998001039
CORONATION FUND MANAGERS,South Africa > M1973009318
JOHN DEERE,South Africa > M1950037595
